customer_id,customer_name,customer_type,channel,city,state,region
1,Midwest Beverage Partners,Distributor,Distributor,Chicago,IL,Midwest
2,Kroger,Grocery,Grocery,Cincinnati,OH,Midwest
3,Walmart,Retail,Retail,Bentonville,AR,South
4,7-Eleven,Convenience,Convenience,Irving,TX,South
5,Walgreens,Retail,Retail,Deerfield,IL,Midwest
6,Walgreens,Retail,Retail,Deerfield,IL,Midwest
7,Albertsons,Grocery,Grocery,Boise,ID,West
8,Kroger,Grocery,Grocery,Cincinnati,OH,Midwest
9,Mountain Retail Alliance,Retail,Retail,Denver,CO,Mountain
10,KeHE,Distributor,Distributor,Naperville,IL,Midwest
11,Costco,Retail,Retail,Issaquah,WA,West
12,Pacific Beverage Distribution,Distributor,Distributor,San Diego,CA,West
13,Casey's General Store,Convenience,Convenience,Ankeny,IA,Midwest
14,Target,Retail,Retail,Minneapolis,MN,Midwest
15,Walmart,Retail,Retail,Bentonville,AR,South
16,Costco,Retail,Retail,Issaquah,WA,West
17,CVS Pharmacy,Retail,Retail,Woonsocket,RI,Northeast
18,Walgreens,Retail,Retail,Deerfield,IL,Midwest
19,UNFI,Distributor,Distributor,Providence,RI,Northeast
20,Southern Convenience Network,Distributor,Distributor,Houston,TX,South
21,Walmart,Retail,Retail,Bentonville,AR,South
22,KeHE,Distributor,Distributor,Naperville,IL,Midwest
23,CVS Pharmacy,Retail,Retail,Woonsocket,RI,Northeast
24,Midwest Beverage Partners,Distributor,Distributor,Chicago,IL,Midwest
25,KeHE,Distributor,Distributor,Naperville,IL,Midwest
26,Unknown Customer,Convenience,Convenience,Ankeny,IA,Midwest
27,Walgreens,Retail,Retail,Deerfield,IL,Midwest
28,Reyes Beverage Group,Distributor,Distributor,Los Angeles,CA,West
29,Pacific Beverage Distribution,Distributor,Distributor,San Diego,CA,West
30,7-Eleven,Convenience,Convenience,Irving,TX,South
31,Walmart,Retail,Retail,Bentonville,AR,South
32,Safeway,Grocery,Grocery,Pleasanton,CA,West
33,Casey's General Store,Convenience,Convenience,Ankeny,IA,Midwest
34,Speedway,Convenience,Convenience,Enon,OH,Midwest
35,7-Eleven,Convenience,Convenience,Irving,TX,South
36,Albertsons,Grocery,Grocery,Boise,ID,West
37,CVS Pharmacy,Retail,Retail,Woonsocket,RI,Northeast
38,Speedway,Convenience,Convenience,Enon,OH,Midwest
39,Kroger,Grocery,Grocery,Cincinnati,OH,Midwest
40,Costco,Retail,Retail,Issaquah,WA,West
41,Sheetz,Convenience,Convenience,Altoona,PA,Northeast
42,Kroger,Grocery,Grocery,Cincinnati,OH,Midwest
43,Wawa,Convenience,Convenience,Media,PA,Northeast
44,Wawa,Convenience,Convenience,Media,PA,Northeast
45,Southern Convenience Network,Distributor,Distributor,Houston,TX,South
46,7-Eleven,Convenience,Convenience,Irving,TX,South
47,Target,Retail,Retail,Minneapolis,MN,Midwest
48,Reyes Beverage Group,Distributor,Distributor,Los Angeles,CA,West
49,KeHE,Distributor,Distributor,Naperville,IL,Midwest
50,Kroger,Grocery,Grocery,Cincinnati,OH,Midwest
51,Sheetz,Convenience,Convenience,Altoona,PA,Northeast
52,Costco,Retail,Retail,Issaquah,WA,West
53,KeHE,Distributor,Distributor,Naperville,IL,Midwest
54,Circle K,Convenience,Convenience,Tempe,AZ,West
55,Midwest Beverage Partners,Distributor,Distributor,Chicago,IL,Midwest
56,Southern Convenience Network,Distributor,Distributor,Houston,TX,South
57,Wawa,Convenience,Convenience,Media,PA,Northeast
58,Pacific Beverage Distribution,Distributor,Distributor,San Diego,CA,West
59,CVS Pharmacy,Retail,Retail,Woonsocket,RI,Northeast
60,Costco,Retail,Retail,Issaquah,WA,West
61,Target,Retail,Retail,Minneapolis,MN,Midwest
62,Mountain Retail Alliance,Retail,Retail,Denver,CO,Mountain
63,Walgreens,Retail,Retail,Deerfield,IL,Midwest
64,Circle K,Convenience,Convenience,Tempe,AZ,West
65,Costco,Retail,Retail,Issaquah,WA,West
66,Walgreens,Retail,Retail,Deerfield,IL,Midwest
67,Kroger,Grocery,Grocery,Cincinnati,OH,Midwest
68,Sheetz,Convenience,Convenience,Altoona,PA,Northeast
69,7-Eleven,Convenience,Convenience,Irving,TX,South
