warehouse,product_id,inventory_id,inventory_cases,reorder_level,last_updated
Atlanta DC,1001,103,831,662,2025-07-01
Atlanta DC,1002,104,2645,910,2025-07-01
Atlanta DC,1003,105,369,397,2025-07-01
Atlanta DC,1004,106,282,589,2025-07-01
Atlanta DC,1005,107,4024,782,2025-07-01
Atlanta DC,1006,108,1769,575,2025-07-01
Atlanta DC,1007,109,1755,848,2025-07-01
Atlanta DC,1008,110,2542,805,2025-07-01
Atlanta DC,1009,111,995,816,2025-07-01
Atlanta DC,1010,112,4664,481,2025-07-01
Atlanta DC,1011,113,3290,844,2025-07-01
Atlanta DC,1012,114,1920,841,2025-07-01
Atlanta DC,1013,115,391,834,2025-07-01
Atlanta DC,1014,116,2508,915,2025-07-01
Atlanta DC,1015,117,2350,696,2025-07-01
Atlanta DC,1016,118,2247,978,2025-07-01
Atlanta DC,1017,119,225,474,2025-07-01
Atlanta DC,1018,120,1737,641,2025-07-01
Atlanta DC,1019,121,3926,955,2025-07-01
Atlanta DC,1020,122,6790,455,2025-07-01
Atlanta DC,1022,124,457,131,2025-07-01
Atlanta DC,1023,125,3096,697,2025-07-01
Atlanta DC,1024,126,949,455,2025-07-01
Atlanta DC,1025,127,2685,366,2025-07-01
Atlanta DC,1026,128,829,818,2025-07-01
Atlanta DC,1027,129,2385,989,2025-07-01
Atlanta DC,1028,130,1454,942,2025-07-01
Atlanta DC,1029,131,765,947,2025-07-01
Atlanta DC,1030,132,4123,752,2025-07-01
Atlanta DC,1031,133,1903,594,2025-07-01
Atlanta DC,1032,134,2953,346,2025-07-01
Atlanta DC,1033,135,4331,904,2025-07-01
Atlanta DC,1034,136,2239,823,2025-07-01
Chicago DC,1001,69,1527,998,2025-07-01
Chicago DC,1002,70,1475,722,2025-07-01
Chicago DC,1003,71,1480,214,2025-07-01
Chicago DC,1004,72,1645,272,2025-07-01
Chicago DC,1005,73,3608,519,2025-07-01
Chicago DC,1006,74,4812,473,2025-07-01
Chicago DC,1007,75,1780,660,2025-07-01
Chicago DC,1008,76,650,129,2025-07-01
Chicago DC,1009,77,3883,775,2025-07-01
Chicago DC,1010,78,2299,823,2025-07-01
Chicago DC,1011,79,3756,486,2025-07-01
Chicago DC,1012,80,1167,431,2025-07-01
Chicago DC,1013,81,2492,253,2025-07-01
Chicago DC,1014,82,3406,173,2025-07-01
Chicago DC,1015,83,2911,600,2025-07-01
Chicago DC,1016,84,4899,782,2025-07-01
Chicago DC,1017,85,3025,348,2025-07-01
Chicago DC,1018,86,277,132,2025-07-01
Chicago DC,1019,87,4274,816,2025-07-01
Chicago DC,1020,88,5271,795,2025-07-01
Chicago DC,1022,90,4507,859,2025-07-01
Chicago DC,1023,91,4689,462,2025-07-01
Chicago DC,1024,92,3017,773,2025-07-01
Chicago DC,1025,93,1541,429,2025-07-01
Chicago DC,1026,94,2932,913,2025-07-01
Chicago DC,1027,95,4270,803,2025-07-01
Chicago DC,1028,96,500,570,2025-07-01
Chicago DC,1029,97,4430,874,2025-07-01
Chicago DC,1030,98,3709,713,2025-07-01
Chicago DC,1031,99,2168,254,2025-07-01
Chicago DC,1032,100,3929,518,2025-07-01
Chicago DC,1033,101,500,1000,2025-07-01
Chicago DC,1034,102,1455,265,2025-07-01
Dallas DC,1001,35,2145,686,2025-07-01
Dallas DC,1002,36,4201,979,2025-07-01
Dallas DC,1003,37,4506,322,2025-07-01
Dallas DC,1004,38,4420,922,2025-07-01
Dallas DC,1005,39,4811,279,2025-07-01
Dallas DC,1006,40,4399,515,2025-07-01
Dallas DC,1007,41,4166,473,2025-07-01
Dallas DC,1008,42,4216,960,2025-07-01
Dallas DC,1009,43,4242,601,2025-07-01
Dallas DC,1010,44,459,152,2025-07-01
Dallas DC,1011,45,4275,579,2025-07-01
Dallas DC,1012,46,1649,498,2025-07-01
Dallas DC,1013,47,1089,535,2025-07-01
Dallas DC,1014,48,821,414,2025-07-01
Dallas DC,1015,49,4998,259,2025-07-01
Dallas DC,1016,50,4639,907,2025-07-01
Dallas DC,1017,51,4436,595,2025-07-01
Dallas DC,1018,52,3476,951,2025-07-01
Dallas DC,1019,53,1443,151,2025-07-01
Dallas DC,1020,54,3978,667,2025-07-01
Dallas DC,1022,56,3085,797,2025-07-01
Dallas DC,1023,57,4948,746,2025-07-01
Dallas DC,1024,58,4598,581,2025-07-01
Dallas DC,1025,59,4003,466,2025-07-01
Dallas DC,1026,60,3446,730,2025-07-01
Dallas DC,1027,61,835,276,2025-07-01
Dallas DC,1028,62,2155,527,2025-07-01
Dallas DC,1029,63,2646,729,2025-07-01
Dallas DC,1030,64,4715,616,2025-07-01
Dallas DC,1031,65,3013,357,2025-07-01
Dallas DC,1032,66,128,872,2025-07-01
Dallas DC,1033,67,3988,249,2025-07-01
Dallas DC,1034,68,201,352,2025-07-01
Los Angeles DC,1001,1,3143,128,2025-07-01
Los Angeles DC,1002,2,282,960,2025-07-01
Los Angeles DC,1003,3,2700,467,2025-07-01
Los Angeles DC,1004,4,3312,614,2025-07-01
Los Angeles DC,1005,5,730,138,2025-07-01
Los Angeles DC,1006,6,3696,640,2025-07-01
Los Angeles DC,1007,7,2334,895,2025-07-01
Los Angeles DC,1008,8,1421,376,2025-07-01
Los Angeles DC,1009,9,799,396,2025-07-01
Los Angeles DC,1010,10,3624,871,2025-07-01
Los Angeles DC,1011,11,0,568,2025-07-01
Los Angeles DC,1012,12,2003,360,2025-07-01
Los Angeles DC,1013,13,3223,786,2025-07-01
Los Angeles DC,1014,14,1113,257,2025-07-01
Los Angeles DC,1015,15,587,297,2025-07-01
Los Angeles DC,1016,16,575,662,2025-07-01
Los Angeles DC,1017,17,3436,471,2025-07-01
Los Angeles DC,1018,18,3500,833,2025-07-01
Los Angeles DC,1019,19,4862,910,2025-07-01
Los Angeles DC,1020,20,5239,230,2025-07-01
Los Angeles DC,1022,22,1903,559,2025-07-01
Los Angeles DC,1023,23,2612,138,2025-07-01
Los Angeles DC,1024,24,3764,579,2025-07-01
Los Angeles DC,1025,25,4580,197,2025-07-01
Los Angeles DC,1026,26,728,264,2025-07-01
