invoice_id,invoice_date,customer_id,product_id,warehouse,sales_rep,quantity_cases,discount_pct,revenue,case_price
500001,2025-12-23,497,1005,Los Angeles DC,Morgan Lee,34,0.0,1247.46,36.69
500002,2025-03-10,163,1015,Phoenix DC,Ashley Nguyen,162,0.05,5391.12,35.03
500003,2025-11-10,104,1014,Phoenix DC,Ryan Thompson,786,0.05,25290.73,33.87
500004,2025-08-17,201,1019,Atlanta DC,Casey Davis,73,0.05,2708.12,39.05
500005,2025-11-23,46,1008,Phoenix DC,Casey Davis,36,0.0,1307.52,36.32
500006,2025-05-21,213,1007,Chicago DC,Morgan Lee,420,0.0,15792.0,37.6
500007,2025-06-13,228,1011,Los Angeles DC,Taylor Johnson,239,0.05,8285.05,36.49
500008,2025-07-16,165,1007,Dallas DC,Jordan Kim,29,0.0,1090.4,37.6
500009,2025-06-19,204,1013,Atlanta DC,Alex Martinez,312,0.0,10888.8,34.9
500010,2025-07-19,236,1014,Phoenix DC,Alex Martinez,205,0.1,6249.01,33.87
500011,2025-07-14,375,1020,Chicago DC,Chris Ramirez,738,0.0,29342.879999999997,39.76
500012,2025-08-03,239,1012,Phoenix DC,Morgan Lee,685,0.0,23262.6,33.96
500013,2025-05-20,471,1007,Los Angeles DC,Ryan Thompson,349,0.0,13122.4,37.6
500014,2025-12-14,52,1030,Dallas DC,Casey Davis,272,0.05,9971.66,38.59
500015,2025-11-15,178,1004,Atlanta DC,Alex Martinez,770,0.0,26511.1,34.43
500016,2025-08-08,1,1027,Atlanta DC,Taylor Johnson,342,0.0,12277.8,35.9
500017,2025-07-14,230,1008,Atlanta DC,Ashley Nguyen,125,0.0,4540.0,36.32
500018,2025-05-23,229,1012,Atlanta DC,Chris Ramirez,272,0.05,8775.26,33.96
500019,2025-01-10,473,1015,Los Angeles DC,Ashley Nguyen,141,0.0,4939.23,35.03
500020,2025-02-05,452,1028,Los Angeles DC,Alex Martinez,214,0.05,7036.21,34.61
500021,2025-04-13,150,1008,Phoenix DC,Taylor Johnson,80,0.05,2760.32,36.32
500022,2025-08-31,27,1004,Phoenix DC,Morgan Lee,222,0.0,7643.46,34.43
500023,2025-07-08,465,1008,Phoenix DC,Jordan Kim,338,0.0,12276.16,36.32
500024,2025-06-09,449,1005,Los Angeles DC,Chris Ramirez,498,0.0,18271.62,36.69
500025,2025-07-12,299,1032,Dallas DC,Jordan Kim,56,0.0,2152.64,38.44
500026,2025-05-05,174,1025,Chicago DC,Jordan Kim,603,0.0,19211.58,31.86
500027,2025-06-27,265,1002,Chicago DC,Jordan Kim,389,0.0,12144.58,31.22
500028,2025-06-24,174,1027,Atlanta DC,Casey Davis,559,0.0,20068.1,35.9
500029,2025-07-05,153,1014,Atlanta DC,Taylor Johnson,154,0.0,5215.98,33.87
500030,2025-09-25,249,1005,Chicago DC,Casey Davis,322,0.1,10632.76,36.69
500031,2025-10-31,327,1014,Dallas DC,Jordan Kim,338,0.0,11448.06,33.87
500032,2025-05-05,373,1015,Phoenix DC,Ryan Thompson,37,0.05,1231.3,35.03
500033,2025-09-11,494,1001,Dallas DC,Casey Davis,472,0.05,15918.2,35.5
500034,2025-05-13,256,1011,Phoenix DC,Chris Ramirez,208,0.0,7589.92,36.49
500035,2025-09-22,369,1001,Los Angeles DC,Morgan Lee,55,0.1,1757.25,35.5
500036,2025-09-08,409,1013,Dallas DC,Casey Davis,66,0.0,2303.4,34.9
500037,2025-08-18,267,1016,Los Angeles DC,Chris Ramirez,430,0.05,14101.42,34.52
500038,2025-12-21,77,1013,Phoenix DC,Ashley Nguyen,213,0.0,7433.7,34.9
500039,2025-09-29,336,1020,Phoenix DC,Ashley Nguyen,542,0.0,21549.92,39.76
500040,2025-05-19,255,1015,Dallas DC,Jordan Kim,480,0.0,16814.4,35.03
500041,2025-06-11,168,1006,Phoenix DC,Taylor Johnson,669,0.0,23522.04,35.16
500042,2025-09-05,183,1007,Phoenix DC,Chris Ramirez,198,0.0,7444.8,37.6
500043,2025-06-01,153,1006,Dallas DC,Chris Ramirez,151,0.0,5309.16,35.16
500044,2025-03-06,2,1018,Los Angeles DC,Chris Ramirez,107,0.0,3951.51,36.93
500045,2025-11-23,145,1004,Atlanta DC,Jordan Kim,457,0.05,14947.78,34.43
500046,2025-10-21,252,1001,Atlanta DC,Casey Davis,75,0.0,2662.5,35.5
500047,2025-01-27,462,1005,Atlanta DC,Jordan Kim,274,0.0,10053.06,36.69
500048,2025-07-25,412,1002,Phoenix DC,Alex Martinez,72,0.0,2247.84,31.22
500049,2025-10-16,61,1004,Los Angeles DC,Morgan Lee,177,0.1,5484.7,34.43
500050,2025-08-02,290,1020,Phoenix DC,Morgan Lee,160,0.0,6361.6,39.76
500051,2025-07-14,259,1018,Atlanta DC,Chris Ramirez,697,0.0,25740.21,36.93
500052,2025-06-06,453,1014,Los Angeles DC,Jordan Kim,401,0.0,13581.87,33.87
500053,2025-11-17,326,1006,Los Angeles DC,Taylor Johnson,490,0.0,17228.4,35.16
500054,2025-10-10,230,1005,Los Angeles DC,Ryan Thompson,222,0.0,8145.18,36.69
500055,2025-08-29,197,1022,Dallas DC,Chris Ramirez,330,0.0,12111.0,36.7
500056,2025-12-26,470,1009,Los Angeles DC,Morgan Lee,461,0.05,16423.12,37.5
500057,2025-11-17,254,1008,Dallas DC,Ryan Thompson,79,0.0,2869.28,36.32
500058,2025-04-26,61,1019,Chicago DC,Taylor Johnson,158,0.0,6169.9,39.05
500059,2025-03-26,179,1002,Phoenix DC,Chris Ramirez,136,0.05,4033.62,31.22
500060,2025-08-28,140,1004,Atlanta DC,Chris Ramirez,524,0.0,18041.32,34.43
500061,2025-09-10,481,1019,Phoenix DC,Alex Martinez,556,0.0,21711.8,39.05
500062,2025-06-15,500,1014,Los Angeles DC,Jordan Kim,755,0.0,25571.85,33.87
500063,2025-10-22,289,1032,Los Angeles DC,Chris Ramirez,417,0.0,16029.48,38.44
