inventory_id,warehouse,product_id,inventory_cases,reorder_level,last_updated
1,Los Angeles DC,1001,3143,128.0,2025-07-01
2,Los Angeles DC,1002,282,960.0,2025-07-01
3,Los Angeles DC,1003,2700,467.0,2025-07-01
4,Los Angeles DC,1004,3312,614.0,2025-07-01
5,Los Angeles DC,1005,730,138.0,2025-07-01
6,Los Angeles DC,1006,3696,640.0,2025-07-01
7,Los Angeles DC,1007,2334,895.0,2025-07-01
8,Los Angeles DC,1008,1421,376.0,2025-07-01
9,Los Angeles DC,1009,799,396.0,2025-07-01
10,Los Angeles DC,1010,3624,871.0,2025-07-01
11,Los Angeles DC,1011,-250,568.0,2025-07-01
12,Los Angeles DC,1012,2003,360.0,2025-07-01
13,Los Angeles DC,1013,3223,786.0,2025-07-01
14,Los Angeles DC,1014,1113,257.0,2025-07-01
15,Los Angeles DC,1015,587,297.0,2025-07-01
16,Los Angeles DC,1016,575,662.0,2025-07-01
17,Los Angeles DC,1017,3436,471.0,2025-07-01
18,Los Angeles DC,1018,3500,833.0,2025-07-01
19,Los Angeles DC,1019,4862,910.0,2025-07-01
20,Los Angeles DC,1020,1257,163.0,2025-07-01
21,Los Angeles DC,1020,3982,297.0,2025-07-01
22,Los Angeles DC,1022,1903,559.0,2025-07-01
23,Los Angeles DC,1023,2612,138.0,2025-07-01
24,Los Angeles DC,1024,3764,579.0,2025-07-01
25,Los Angeles DC,1025,4580,197.0,2025-07-01
26,Los Angeles DC,1026,728,264.0,2025-07-01
27,Los Angeles DC,1027,777,689.0,2025-07-01
28,Los Angeles DC,1028,4151,508.0,2025-07-01
29,Los Angeles DC,1029,4671,995.0,2025-07-01
30,Los Angeles DC,1030,1709,379.0,2025-07-01
31,Los Angeles DC,1031,137,368.0,2025-07-01
32,Los Angeles DC,1032,1451,616.0,2025-07-01
33,Los Angeles DC,1033,835,518.0,2025-07-01
34,Los Angeles DC,1034,2051,711.0,2025-07-01
35,Dallas DC,1001,2145,686.0,2025-07-01
36,Dallas DC,1002,4201,979.0,2025-07-01
37,Dallas DC,1003,4506,322.0,2025-07-01
38,Dallas DC,1004,4420,922.0,2025-07-01
39,Dallas DC,1005,4811,279.0,2025-07-01
40,Dallas DC,1006,4399,515.0,2025-07-01
41,Dallas DC,1007,4166,473.0,2025-07-01
42,Dallas DC,1008,4216,960.0,2025-07-01
43,Dallas DC,1009,4242,601.0,2025-07-01
44,Dallas DC,1010,459,152.0,2025-07-01
45,Dallas DC,1011,4275,579.0,2025-07-01
46,Dallas DC,1012,1649,498.0,2025-07-01
47,Dallas DC,1013,1089,535.0,2025-07-01
48,Dallas DC,1014,821,414.0,2025-07-01
49,Dallas DC,1015,4998,259.0,2025-07-01
50,Dallas DC,1016,4639,907.0,2025-07-01
51,Dallas DC,1017,4436,,2025-07-01
52,Dallas DC,1018,3476,951.0,2025-07-01
53,Dallas DC,1019,1443,151.0,2025-07-01
54,Dallas DC,1020,3607,684.0,2025-07-01
55,Dallas DC,1020,371,651.0,2025-07-01
56,Dallas DC,1022,3085,797.0,2025-07-01
57,Dallas DC,1023,4948,746.0,2025-07-01
58,Dallas DC,1024,4598,581.0,2025-07-01
59,Dallas DC,1025,4003,466.0,2025-07-01
60,Dallas DC,1026,3446,730.0,2025-07-01
61,Dallas DC,1027,835,276.0,2025-07-01
62,Dallas DC,1028,2155,527.0,2025-07-01
63,Dallas DC,1029,2646,729.0,2025-07-01
64,Dallas DC,1030,4715,616.0,2025-07-01
65,Dallas DC,1031,3013,357.0,2025-07-01
66,Dallas DC,1032,128,872.0,2025-07-01
67,Dallas DC,1033,3988,249.0,2025-07-01
68,Dallas DC,1034,201,352.0,2025-07-01
69,Chicago DC,1001,1527,998.0,2025-07-01
70,Chicago DC,1002,1475,722.0,2025-07-01
71,Chicago DC,1003,1480,214.0,2025-07-01
72,Chicago DC,1004,1645,272.0,2025-07-01
73,Chicago DC,1005,3608,519.0,2025-07-01
74,Chicago DC,1006,4812,473.0,2025-07-01
75,Chicago DC,1007,1780,660.0,2025-07-01
76,Chicago DC,1008,650,129.0,2025-07-01
77,Chicago DC,1009,3883,775.0,2025-07-01
78,Chicago DC,1010,2299,823.0,2025-07-01
79,Chicago DC,1011,3756,486.0,2025-07-01
80,Chicago DC,1012,1167,431.0,2025-07-01
81,Chicago DC,1013,2492,253.0,2025-07-01
82,Chicago DC,1014,3406,173.0,2025-07-01
83,Chicago DC,1015,2911,600.0,2025-07-01
84,Chicago DC,1016,4899,782.0,2025-07-01
85,Chicago DC,1017,3025,348.0,2025-07-01
86,Chicago DC,1018,277,132.0,2025-07-01
87,Chicago DC,1019,4274,816.0,2025-07-01
88,Chicago DC,1020,1669,886.0,2025-07-01
89,Chicago DC,1020,3602,704.0,2025-07-01
90,Chicago DC,1022,4507,859.0,2025-07-01
91,Chicago DC,1023,4689,462.0,2025-07-01
92,Chicago DC,1024,3017,773.0,2025-07-01
93,Chicago DC,1025,1541,429.0,2025-07-01
94,Chicago DC,1026,2932,913.0,2025-07-01
95,Chicago DC,1027,4270,803.0,2025-07-01
96,Chicago DC,1028,500,570.0,2025-07-01
97,Chicago DC,1029,4430,874.0,2025-07-01
98,Chicago DC,1030,3709,713.0,2025-07-01
99,Chicago DC,1031,2168,254.0,2025-07-01
100,Chicago DC,1032,3929,518.0,2025-07-01
101,Chicago DC,1033,500,1000.0,2025-07-01
102,Chicago DC,1034,1455,265.0,2025-07-01
103,Atlanta DC,1001,831,662.0,2025-07-01
104,Atlanta DC,1002,2645,910.0,2025-07-01
105,Atlanta DC,1003,369,397.0,2025-07-01
106,Atlanta DC,1004,282,589.0,2025-07-01
107,Atlanta DC,1005,4024,782.0,2025-07-01
108,Atlanta DC,1006,1769,575.0,2025-07-01
109,Atlanta DC,1007,1755,848.0,2025-07-01
110,Atlanta DC,1008,2542,805.0,2025-07-01
111,Atlanta DC,1009,995,816.0,2025-07-01
112,Atlanta DC,1010,4664,481.0,2025-07-01
113,Atlanta DC,1011,3290,844.0,2025-07-01
114,Atlanta DC,1012,1920,841.0,2025-07-01
115,Atlanta DC,1013,391,834.0,2025-07-01
116,Atlanta DC,1014,2508,915.0,2025-07-01
117,Atlanta DC,1015,2350,696.0,2025-07-01
118,Atlanta DC,1016,2247,978.0,2025-07-01
119,Atlanta DC,1017,225,474.0,2025-07-01
120,Atlanta DC,1018,1737,641.0,2025-07-01
121,Atlanta DC,1019,3926,955.0,2025-07-01
122,Atlanta DC,1020,3553,110.0,2025-07-01
123,Atlanta DC,1020,3237,800.0,2025-07-01
124,Atlanta DC,1022,457,131.0,2025-07-01
125,Atlanta DC,1023,3096,697.0,2025-07-01
126,Atlanta DC,1024,949,455.0,2025-07-01
127,Atlanta DC,1025,2685,366.0,2025-07-01
128,Atlanta DC,1026,829,818.0,2025-07-01
129,Atlanta DC,1027,2385,989.0,2025-07-01
130,Atlanta DC,1028,1454,942.0,2025-07-01
131,Atlanta DC,1029,765,947.0,2025-07-01
132,Atlanta DC,1030,4123,752.0,2025-07-01
133,Atlanta DC,1031,1903,594.0,2025-07-01
134,Atlanta DC,1032,2953,346.0,2025-07-01
135,Atlanta DC,1033,4331,904.0,2025-07-01
136,Atlanta DC,1034,2239,823.0,2025-07-01
137,Phoenix DC,1001,4262,948.0,2025-07-01
138,Phoenix DC,1002,1740,742.0,2025-07-01
139,Phoenix DC,1003,1966,579.0,2025-07-01
140,Phoenix DC,1004,472,902.0,2025-07-01
141,Phoenix DC,1005,4014,873.0,2025-07-01
142,Phoenix DC,1006,1654,840.0,2025-07-01
143,Phoenix DC,1007,3372,595.0,2025-07-01
144,Phoenix DC,1008,861,768.0,2025-07-01
145,Phoenix DC,1009,2968,418.0,2025-07-01
146,Phoenix DC,1010,2026,853.0,2025-07-01
147,Phoenix DC,1011,3340,642.0,2025-07-01
148,Phoenix DC,1012,826,938.0,2025-07-01
149,Phoenix DC,1013,3852,429.0,2025-07-01
150,Phoenix DC,1014,552,852.0,2025-07-01
151,Phoenix DC,1015,3488,437.0,2025-07-01
152,Phoenix DC,1016,4451,520.0,2025-07-01
153,Phoenix DC,1017,1237,749.0,2025-07-01
154,Phoenix DC,1018,4208,213.0,2025-07-01
155,Phoenix DC,1019,2365,579.0,2025-07-01
156,Phoenix DC,1020,1009,348.0,2025-07-01
157,Phoenix DC,1020,1668,714.0,2025-07-01
158,Phoenix DC,1022,1844,727.0,2025-07-01
159,Phoenix DC,1023,4500,239.0,2025-07-01
160,Phoenix DC,1024,4091,435.0,2025-07-01
161,Phoenix DC,1025,876,763.0,2025-07-01
162,Phoenix DC,1026,3021,843.0,2025-07-01
163,Phoenix DC,1027,4714,594.0,2025-07-01
164,Phoenix DC,1028,2531,479.0,2025-07-01
165,Phoenix DC,1029,2638,421.0,2025-07-01
166,Phoenix DC,1030,4063,264.0,2025-07-01
167,Phoenix DC,1031,3526,407.0,2025-07-01
168,Phoenix DC,1032,1717,389.0,2025-07-01
169,Phoenix DC,1033,502,437.0,2025-07-01
170,Phoenix DC,1034,3777,935.0,2025-07-01
