invoice_id,invoice_date,customer_id,product_id,warehouse,sales_rep,quantity_cases,case_price,discount_pct,revenue
500001,2025-12-23,497.0,1005,Los Angeles DC,Morgan Lee,34,36.69,0.0,1247.46
500002,2025-03-10,163.0,1015,Phoenix DC,Ashley Nguyen,162,35.03,0.05,5391.12
500003,2025-11-10,104.0,1014,Phoenix DC,Ryan Thompson,786,33.87,0.05,25290.73
500004,2025-08-17,201.0,1019,Atlanta DC,Casey Davis,73,39.05,0.05,2708.12
500005,2025-11-23,46.0,1008,Phoenix DC,Casey Davis,36,36.32,0.0,1307.52
500006,2025-05-21,213.0,1007,Chicago DC,Morgan Lee,420,37.6,0.0,15792.0
500007,2025-06-13,228.0,1011,Los Angeles DC,Taylor Johnson,239,36.49,0.05,8285.05
500008,2025-07-16,165.0,1007,Dallas DC,Jordan Kim,29,37.6,0.0,1090.4
500009,2025-06-19,204.0,1013,Atlanta DC,Alex Martinez,312,34.9,0.0,10888.8
500010,2025-07-19,236.0,1014,Phoenix DC,Alex Martinez,205,33.87,0.1,6249.01
500011,2025-07-14,375.0,1020,Chicago DC,Chris Ramirez,738,39.42,0.0,29091.96
500012,2025-08-03,239.0,1012,Phoenix DC,Morgan Lee,685,33.96,0.0,23262.6
500013,2025-05-20,471.0,1007,Los Angeles DC,Ryan Thompson,349,37.6,0.0,13122.4
500014,2025-12-14,52.0,1030,Dallas DC,Casey Davis,272,38.59,0.05,9971.66
500015,2025-11-15,178.0,1004,Atlanta DC,Alex Martinez,770,34.43,0.0,26511.1
500016,2025-08-08,1.0,1027,Atlanta DC,Taylor Johnson,342,35.9,0.0,12277.8
500017,2025-07-14,230.0,1008,Atlanta DC,Ashley Nguyen,125,36.32,0.0,4540.0
500018,2025-05-23,229.0,1012,Atlanta DC,Chris Ramirez,272,33.96,0.05,8775.26
500019,2025-01-10,473.0,1015,Los Angeles DC,Ashley Nguyen,141,35.03,0.0,4939.23
500020,2025-02-05,452.0,1028,Los Angeles DC,Alex Martinez,214,34.61,0.05,7036.21
500021,2025-04-13,150.0,1008,Phoenix DC,Taylor Johnson,80,36.32,0.05,2760.32
500022,2025-08-31,27.0,1004,Phoenix DC,Morgan Lee,222,34.43,0.0,7643.46
500023,2025-07-08,465.0,1008,Phoenix DC,Jordan Kim,338,36.32,0.0,12276.16
500024,2025-06-09,449.0,1005,Los Angeles DC,Chris Ramirez,498,36.69,0.0,18271.62
500025,2025-07-12,299.0,1032,Dallas DC,Jordan Kim,56,38.44,0.0,2152.64
500026,2025-05-05,174.0,1025,Chicago DC,Jordan Kim,603,31.86,0.0,19211.58
500027,2025-06-27,265.0,1002,Chicago DC,Jordan Kim,389,31.22,0.0,12144.58
500028,2025-06-24,174.0,1027,Atlanta DC,Casey Davis,559,35.9,0.0,20068.1
500029,2025-07-05,153.0,1014,Atlanta DC,Taylor Johnson,154,33.87,0.0,5215.98
500030,2025-09-25,249.0,1005,Chicago DC,Casey Davis,322,36.69,0.1,10632.76
500031,2025-10-31,327.0,1014,Dallas DC,Jordan Kim,338,33.87,0.0,11448.06
500032,2025-05-05,373.0,1015,Phoenix DC,Ryan Thompson,37,35.03,0.05,1231.3
500033,2025-09-11,494.0,1001,Dallas DC,Casey Davis,472,35.5,0.05,15918.2
500034,2025-05-13,256.0,1011,Phoenix DC,Chris Ramirez,208,36.49,0.0,7589.92
500035,2025-09-22,369.0,1001,Los Angeles DC,Morgan Lee,55,35.5,0.1,1757.25
500036,2025-09-08,409.0,1013,Dallas DC,Casey Davis,66,34.9,0.0,2303.4
500037,2025-08-18,267.0,1016,Los Angeles DC,Chris Ramirez,430,34.52,0.05,14101.42
500038,2025-12-21,77.0,1013,Phoenix DC,Ashley Nguyen,213,34.9,0.0,7433.7
500039,2025-09-29,336.0,1020,Phoenix DC,Ashley Nguyen,542,39.76,0.0,21549.92
500040,2025-05-19,255.0,1015,Dallas DC,Jordan Kim,480,35.03,0.0,16814.4
500041,2025-06-11,168.0,1006,Phoenix DC,Taylor Johnson,669,35.16,0.0,23522.04
500042,2025-09-05,183.0,1007,Phoenix DC,Chris Ramirez,198,37.6,0.0,7444.8
500043,2025-06-01,153.0,1006,Dallas DC,Chris Ramirez,151,35.16,0.0,5309.16
500044,2025-03-06,2.0,1018,Los Angeles DC,Chris Ramirez,107,36.93,0.0,3951.51
500045,2025-11-23,145.0,1004,Atlanta DC,Jordan Kim,457,34.43,0.05,14947.78
500046,2025-10-21,252.0,1001,Atlanta DC,Casey Davis,75,35.5,0.0,2662.5
500047,2025-01-27,462.0,1005,Atlanta DC,Jordan Kim,274,36.69,0.0,10053.06
500048,2025-07-25,412.0,1002,Phoenix DC,Alex Martinez,72,31.22,0.0,2247.84
500049,2025-10-16,61.0,1004,Los Angeles DC,Morgan Lee,177,34.43,0.1,5484.7
