return_id,invoice_id,return_date,product_id,customer_id,return_quantity,return_reason
1,533554,2026-01-11,1009,211.0,19,Damaged Product
2,509428,2025-01-30,1010,264.0,16,Quality Issue
3,500200,2025-10-05,1009,180.0,9,Expired Product
4,512448,2025-03-24,1013,174.0,8,Quality Issue
5,539490,2025-06-17,1001,148.0,2,Expired Product
6,542725,2025-04-08,1007,57.0,3,Quality Issue
7,510823,2025-11-08,1002,102.0,17,Expired Product
8,549499,2025-12-15,1014,102.0,26,Quality Issue
9,504145,2025-02-25,1014,263.0,3,Damaged Product
10,536959,2025-11-19,1013,264.0,12,Expired Product
11,999999,2025-12-27,1024,493.0,4,Damaged Product
12,538696,2025-09-15,1008,221.0,8,Wrong Shipment
13,506189,2025-05-02,1002,94.0,25,Damaged Product
14,501415,2025-09-10,1006,43.0,3,Quality Issue
15,518472,2025-08-11,1012,178.0,30,Damaged Product
16,529283,2025-08-08,1004,259.0,59,Customer Complaint
17,515178,2025-09-17,1016,250.0,29,Quality Issue
18,534305,2025-12-08,1006,490.0,36,Customer Complaint
19,512610,2025-02-04,1019,3.0,2,Wrong Shipment
20,512145,2025-11-27,1007,325.0,3,Quality Issue
21,506114,2026-01-13,1002,140.0,-25,Customer Complaint
22,515909,2026-01-12,1003,435.0,3,Expired Product
23,500822,2025-03-20,1005,471.0,9,Wrong Shipment
24,515119,2025-12-22,1015,169.0,17,Damaged Product
25,513467,2025-08-09,1023,408.0,5,Damaged Product
26,526498,2025-12-07,1003,427.0,7,Wrong Shipment
27,542112,2026-02-07,1018,252.0,3,Customer Complaint
28,530189,2025-01-29,1011,8.0,8,Customer Complaint
29,537238,2026-01-21,1003,457.0,15,Expired Product
30,533110,2025-05-07,1013,396.0,18,Damaged Product
31,536481,2025-10-20,1015,325.0,52,
32,524149,2025-03-29,1009,408.0,1,Expired Product
33,505504,2025-07-07,1009,276.0,24,Damaged Product
34,503919,2025-03-10,1004,103.0,2,Quality Issue
35,538479,2025-06-28,1004,249.0,1,Quality Issue
36,521124,2025-07-22,1016,159.0,4,Customer Complaint
37,549718,2025-07-03,1008,53.0,29,Quality Issue
38,542295,2025-05-23,1002,335.0,2,Damaged Product
39,547610,2025-07-11,1015,190.0,10,Customer Complaint
40,511077,2025-10-08,1020,203.0,31,Expired Product
41,541515,2025-07-23,1006,471.0,11,Customer Complaint
42,522063,2025-06-15,1016,470.0,13,Wrong Shipment
43,509414,2025-06-12,1029,173.0,22,Damaged Product
44,538341,2025-03-21,1023,326.0,42,Expired Product
45,530264,2026-01-06,1006,495.0,3,Expired Product
46,541253,2025-04-29,1006,228.0,44,Quality Issue
47,514645,2025-10-04,1012,254.0,4,Expired Product
48,526336,2025-07-09,1022,114.0,14,Expired Product
49,528103,2025-08-05,1033,377.0,1,Quality Issue
50,517524,2025-02-25,1022,427.0,4,Damaged Product
51,524713,2025-06-03,1015,416.0,7,Quality Issue
52,540486,2025-03-01,1012,212.0,15,Expired Product
53,503851,2025-06-07,1011,468.0,1,Quality Issue
54,540041,2026-01-08,1005,215.0,30,Wrong Shipment
55,515268,2026-02-08,1001,469.0,3,Wrong Shipment
56,549147,2026-01-03,1015,406.0,23,Expired Product
57,530002,2025-07-29,1026,223.0,4,Expired Product
58,545927,2025-07-16,1027,428.0,34,Wrong Shipment
59,543825,2025-05-10,1003,378.0,34,Expired Product
60,517241,2025-07-29,1009,243.0,5,Wrong Shipment
61,504893,2025-11-15,1023,71.0,33,Customer Complaint
62,500726,2025-03-06,1007,410.0,1,Damaged Product
63,522950,2025-12-17,1018,417.0,25,Expired Product
64,534658,2026-01-02,1001,2.0,11,Wrong Shipment
65,537214,2025-07-06,1003,40.0,9,Damaged Product
66,520305,2025-05-30,1009,164.0,30,Damaged Product
67,515270,2026-01-21,1019,489.0,33,Damaged Product
68,522368,2025-03-23,1006,62.0,8,Customer Complaint
69,542685,2025-12-19,1005,420.0,12,Damaged Product
70,546735,2025-02-24,1006,462.0,21,Expired Product
71,511733,2025-07-02,1015,116.0,34,Wrong Shipment
72,518620,2025-09-28,1018,59.0,12,Expired Product
73,548493,2025-12-21,1004,37.0,7,Damaged Product
74,526804,2025-10-12,1020,220.0,23,Expired Product
75,544306,2025-05-22,1031,232.0,10,Customer Complaint
76,547523,2026-01-23,1016,313.0,34,Damaged Product
77,532208,2025-08-01,1006,88.0,1,Wrong Shipment
78,502531,2025-11-08,1013,434.0,5,Damaged Product
79,517747,2025-05-12,1004,458.0,3,Customer Complaint
80,508271,2025-10-11,1014,439.0,14,Expired Product
81,515080,2025-12-05,1015,112.0,20,Expired Product
82,513625,2025-11-23,1001,219.0,56,Damaged Product
83,530639,2025-03-21,1010,469.0,5,Quality Issue
84,530441,2025-03-25,1009,371.0,9,Expired Product
85,536057,2025-04-06,1027,156.0,24,Customer Complaint
86,542652,2025-06-22,1020,499.0,37,Quality Issue
87,536804,2025-04-18,1004,169.0,18,Customer Complaint
88,548225,2025-10-24,1004,310.0,32,Customer Complaint
89,529227,2025-11-13,1012,197.0,20,Wrong Shipment
90,505634,2025-11-27,1005,330.0,9,Quality Issue
91,505988,2025-07-29,1003,360.0,5,Quality Issue
92,548064,2025-12-25,1015,198.0,4,Damaged Product
93,501813,2025-11-30,1008,306.0,2,Wrong Shipment
94,527579,2026-01-07,1015,235.0,2,Expired Product
95,516824,2025-04-08,1022,182.0,4,Customer Complaint
96,503929,2025-10-09,1009,326.0,8,Quality Issue
97,537287,2025-10-09,1002,156.0,9,Wrong Shipment
98,525046,2025-01-27,1001,286.0,7,Wrong Shipment
99,515728,2025-08-31,1003,249.0,25,Damaged Product
100,529601,2025-04-08,1007,474.0,4,Quality Issue
101,510431,2025-12-26,1022,54.0,4,Quality Issue
102,525769,2025-11-14,1002,428.0,42,Damaged Product
103,529104,2025-05-21,1011,481.0,41,Expired Product
104,536538,2026-01-03,1011,74.0,2,Quality Issue
105,539329,2025-10-30,1005,338.0,1,Wrong Shipment
106,535540,2025-06-08,1009,334.0,67,Quality Issue
107,528076,2025-06-15,1032,194.0,14,Wrong Shipment
108,517841,2025-08-09,1005,339.0,4,Expired Product
109,527803,2025-02-17,1003,295.0,17,Damaged Product
110,507683,2026-01-24,1018,219.0,34,Wrong Shipment
111,524280,2025-12-25,1030,260.0,32,Customer Complaint
112,533071,2025-11-05,1011,120.0,2,Wrong Shipment
113,535558,2025-10-26,1017,94.0,25,Damaged Product
114,537190,2025-08-13,1006,134.0,29,Customer Complaint
115,547150,2026-01-24,1004,282.0,5,Expired Product
116,546916,2025-03-05,1016,151.0,12,Damaged Product
117,509802,2025-08-08,1002,119.0,1,Customer Complaint
118,538801,2025-04-08,1007,365.0,21,Damaged Product
119,524670,2025-06-11,1009,112.0,34,Damaged Product
